beta,se,z,p
"[0.08514557621577469, 0.15505085796543025]","[0.07683813324403092, 0.0859398400078855]","[1.1081161478163464, 1.804179039095295]","[0.2678116580031531, 0.07120324419438559]"
"[-0.09244149444073482, 0.25096430445976264]","[0.057305815871657215, 0.0730004288683614]","[-1.613125876224638, 3.437846987341896]","[0.10671716311672072, 0.000586358932716314]"
"[0.0959710166393331, 0.11595215340236766]","[0.05694638155324253, 0.06895067970469108]","[1.6852873531499826, 1.681668025594225]","[0.09193314454778304, 0.09263323154748501]"
"[0.027641334973670374, 0.16266152941520598]","[0.06760189546521492, 0.07554841201497203]","[0.4088840229027815, 2.1530767500840393]","[0.6826247745577368, 0.03131264715644273]"
"[0.11634887179202763, 0.19168398791463107]","[0.07529656373084206, 0.07881346161271713]","[1.545208254229671, 2.432122431781393]","[0.12229589844915972, 0.015010632440142562]"
"[-0.0902768698475439, 0.2684298248808183]","[0.0578123870353234, 0.06109753775533159]","[-1.5615489080633307, 4.393463873384883]","[0.11839429362360278, 1.1155873505310014e-5]"
"[-0.010771839560443766, 0.38708438476062995]","[0.06994810279872478, 0.08142859361327093]","[-0.1539975943513388, 4.753666587918871]","[0.8776116323891696, 1.9976036250330555e-6]"
"[0.0037235129309543553, 0.15266933465379806]","[0.0699161972611448, 0.07257688799934058]","[0.053256799952185886, 2.1035530574855343]","[0.9575272999680966, 0.035417452437808195]"
"[-0.023091877783472665, 0.26479035375551274]","[0.07505071176262443, 0.08060941495790629]","[-0.3076836613689854, 3.284856414027872]","[0.7583230533429428, 0.0010203435566387728]"
"[0.027065616356895986, 0.2840336529252995]","[0.07207343328565563, 0.07568261442086983]","[0.37552833440893824, 3.752957731425513]","[0.7072675779122765, 0.00017476033124277622]"
"[0.1426484935408752, 0.1114519378699503]","[0.07272612640895577, 0.07938332528818408]","[1.961447702284181, 1.4039716460018274]","[0.04982682001795803, 0.16032729299643458]"
"[0.022285289849992403, 0.2289098808163992]","[0.06558074253080412, 0.07069765176709382]","[0.33981453990894833, 3.2378710621184337]","[0.7339961975632672, 0.0012042522215749128]"
"[0.0034253521854902473, 0.2732890192178783]","[0.06503211189054588, 0.0786679211281286]","[0.05267170457658491, 3.4739575585423816]","[0.9579934841966677, 0.0005128421453083433]"
"[0.01649767555994704, 0.23858224502960781]","[0.06373347070420567, 0.07580111678531663]","[0.2588541841148843, 3.1474766487322174]","[0.7957477493321647, 0.0016468625948576436]"
"[-0.017820729954948017, 0.2344655169966709]","[0.07674371415604256, 0.0751176732752629]","[-0.23221093937039883, 3.12130963025825]","[0.8163741815714864, 0.0018004861660278785]"
"[-0.10077853067149592, 0.2895231778231195]","[0.07593287666484524, 0.07814307943354958]","[-1.327205488556889, 3.7050392679920034]","[0.18444071730631664, 0.00021135798644553552]"
"[-0.0838825618611904, 0.31672495474029555]","[0.07389863629038519, 0.08267052743038439]","[-1.1351029744523744, 3.831171332576835]","[0.2563321754442299, 0.00012753465439412456]"
