beta,se,z,p
"[-0.08691042575895704, 0.22174521754183957]","[0.0694832349890253, 0.08387586604978985]","[-1.25081144786486, 2.64373088452176]","[0.21100327722575907, 0.008199782113225597]"
"[-0.06634185584651278, 0.21442859608938844]","[0.05911545577113667, 0.07322141865846377]","[-1.1222421443108357, 2.9284955142644225]","[0.2617594980112204, 0.0034060674740118155]"
"[-0.07485450109902582, 0.27745489732637335]","[0.07254772765336787, 0.07622311049965413]","[-1.0317966326482297, 3.6400364076933376]","[0.30216739708508117, 0.0002725994939110079]"
"[-0.11280388086508773, 0.3275596330414802]","[0.06744944421535565, 0.06908206697593916]","[-1.6724212063915957, 4.7416015093405806]","[0.09444129327900987, 2.1203537185861117e-6]"
"[0.09094411189712921, 0.35295434827626354]","[0.0724961714011134, 0.07584150790158238]","[1.2544677896705105, 4.653841386359083]","[0.20967202623057157, 3.2580746618289497e-6]"
"[0.041165043478795994, 0.22139556730814663]","[0.08303234909597308, 0.08002157237742981]","[0.4957711533755995, 2.7666985380381197]","[0.6200558793375829, 0.005662709249066249]"
"[0.010448568551580877, 0.19101431698456436]","[0.06266572844671087, 0.0812965221202308]","[0.16673497317542615, 2.349600105919292]","[0.8675785860973554, 0.01879358978287846]"
"[0.07607118843270795, 0.1538467687130914]","[0.0797555118607757, 0.08926969977663766]","[0.9538047798564788, 1.723392921652391]","[0.3401824694574659, 0.08481749407455849]"
"[0.14094904019646406, 0.1947602142757405]","[0.06856058161990741, 0.06483721174794445]","[2.0558320373924275, 3.003833894536883]","[0.03979870880758894, 0.0026660083477250585]"
"[0.06621528184228954, 0.14913622262409792]","[0.07445904236758914, 0.07792490821895852]","[0.8892846286606557, 1.913845342044487]","[0.3738501304260533, 0.05563991999808318]"
"[0.11625209298794274, 0.12827515331287648]","[0.07187573456853838, 0.08367126097850745]","[1.6174038941763926, 1.5330849781961142]","[0.10579112570466048, 0.1252549184169054]"
"[-0.08703719109907039, 0.2860240213951101]","[0.06344225290794189, 0.06555365370082072]","[-1.3719120477226119, 4.363204874902786]","[0.17009081941564483, 1.2817080836747003e-5]"
"[-0.019029498362396598, 0.32971131580499213]","[0.07146365091554543, 0.07592177727530597]","[-0.2662822024708106, 4.342776573965067]","[0.7900218788138665, 1.406931978609641e-5]"
"[-0.00791297965691339, 0.28584702971752957]","[0.06347760668800037, 0.06987999139354859]","[-0.12465781351534852, 4.090541856362039]","[0.9007944567414045, 4.303665301401182e-5]"
"[0.031240103048268363, 0.24107545235004738]","[0.06886314335888621, 0.0829608259065721]","[0.4536549092082229, 2.905895037997079]","[0.6500772258407578, 0.003662042680420355]"
"[-0.07613408801271901, 0.3738680297452406]","[0.05792343584614213, 0.06789253416343215]","[-1.3143917811600219, 5.506762037269939]","[0.18871439486731703, 3.654937736668676e-8]"
"[0.07088980514205294, 0.2681528685117258]","[0.07171671133279595, 0.07569104772433251]","[0.9884698255765548, 3.5427289828031054]","[0.3229226052458013, 0.00039600945364025585]"
"[-0.009419112712920412, 0.2930935304787335]","[0.05644871744398353, 0.06996271785453921]","[-0.16686141225914297, 4.189281655525586]","[0.8674790959648249, 2.7983889346693826e-5]"
"[-0.027689091488116404, 0.2685915562332552]","[0.07845420276893565, 0.09227905339285677]","[-0.35293318281069885, 2.9106449010675113]","[0.7241385332865184, 0.0036068367921170113]"
"[0.0024919932722394862, 0.20550382167988895]","[0.07348883091287789, 0.07740695564653198]","[0.03390982331986995, 2.6548495540671224]","[0.9729490598178584, 0.00793437863375448]"
"[0.05452025286093102, 0.21782136464781773]","[0.06573367675846677, 0.08033157121220531]","[0.8294112781985619, 2.7115287471773324]","[0.4068717217830384, 0.006697373339917286]"
"[0.017665443253034364, 0.3058435339455168]","[0.07292845674766589, 0.06551486696527484]","[0.24222976929509418, 4.668307334083797]","[0.8086021292235426, 3.036913810889546e-6]"
"[-0.05107973003243942, 0.2894174057424861]","[0.06963434708118647, 0.07150078078344733]","[-0.733542169540065, 4.047751682866758]","[0.46322781783302885, 5.171196460066218e-5]"
"[-0.132693287357695, 0.33319975325236184]","[0.05597534559626192, 0.06136062496747113]","[-2.3705666475877263, 5.430188389199095]","[0.01776084149359993, 5.629459409381303e-8]"
"[-0.10381649747534782, 0.38365266806385445]","[0.055167564176036174, 0.06821629179499714]","[-1.8818394291267966, 5.624062199346797]","[0.05985782050339888, 1.865184415894708e-8]"
"[0.16670014547000192, 0.08053967584520216]","[0.06494091421568014, 0.06903950339863675]","[2.5669510120593864, 1.1665738002222144]","[0.010259710571617158, 0.24338252898062263]"
"[-0.05645202470670389, 0.2980066567536297]","[0.08355345193682373, 0.07816217095961972]","[-0.6756396462157935, 3.8126711821705466]","[0.49926946346501144, 0.0001374729523531358]"
"[0.07715705579540076, 0.05170769389106044]","[0.06387703058344911, 0.07000386932937964]","[1.207899852116679, 0.738640512108942]","[0.2270857864871063, 0.4601253172670161]"
"[-0.01151050046922271, 0.20890401185618546]","[0.07289629379205188, 0.0811037782270468]","[-0.15790240999162752, 2.5757617761205527]","[0.8745336989918485, 0.010001953028369983]"
"[0.05349109491228762, 0.31931973055507057]","[0.06250896011964935, 0.07539704651350804]","[0.8557348388119, 4.2351755847341]","[0.39214446511930656, 2.283731884085734e-5]"
"[0.17315187997912918, 0.14932136287371878]","[0.06598793791768295, 0.07666070652065202]","[2.6239928908693666, 1.9478213761764944]","[0.008690559908057956, 0.0514363400897367]"
"[0.04391186758064915, 0.2093117096183747]","[0.06261204883064586, 0.07732400921841599]","[0.7013325454246468, 2.7069433120977338]","[0.48309550759469083, 0.006790585160294389]"
"[-0.010338089519169235, 0.27930146917306975]","[0.06373126871827055, 0.07747872522102725]","[-0.16221377240848026, 3.6048795121021047]","[0.8711375146243275, 0.00031229778117777964]"
"[-0.09006569140993831, 0.18911073057062636]","[0.07969442256677836, 0.07170586525051406]","[-1.130137950801633, 2.637311883901584]","[0.2584181005291376, 0.00835659605658159]"
"[0.17361417645500346, 0.07864513034091836]","[0.06344732974844203, 0.07078823268155116]","[2.736351193081796, 1.1109915781442425]","[0.006212468544821995, 0.26657197440799346]"
"[0.009787349500075909, 0.2936180734060165]","[0.07818871047092435, 0.09327650254726906]","[0.1251759933259864, 3.1478246438026742]","[0.9003842222908972, 0.0016449033782347557]"
"[0.056536004125870065, 0.13507591516959172]","[0.07031965566411753, 0.06903787216425841]","[0.8039857930464677, 1.9565480646363527]","[0.4214051799618588, 0.0504006261923537]"
"[-0.011674763007485744, 0.2600414635021495]","[0.064361853086288, 0.07288773680418849]","[-0.181392586565737, 3.5676984209393954]","[0.8560594374223484, 0.00036013065190354125]"
"[0.11341242737428617, 0.17238341221576584]","[0.07514478967358361, 0.07458132504190328]","[1.509252043514005, 2.311348211082503]","[0.13123438496742257, 0.020813629064727397]"
"[-0.0014475858618105352, 0.2594347192002258]","[0.06387593492934224, 0.07884479846849426]","[-0.022662460649880332, 3.290448123903745]","[0.9819195202011699, 0.0010002794374315588]"
"[0.012552258054872029, 0.23570169268160981]","[0.07649847441054448, 0.08777016609995802]","[0.16408507688019772, 2.685442026088664]","[0.8696641695092022, 0.007243393968952787]"
"[0.07503992162507889, 0.2513902646264557]","[0.06643281267270865, 0.07428067448122193]","[1.12956111003119, 3.3843293209461485]","[0.25866120589113095, 0.0007135236539354255]"
"[-0.12138401672338199, 0.1514586539819647]","[0.058000487783069536, 0.08015817981046786]","[-2.0928102738959073, 1.8894971709697646]","[0.03636609432657441, 0.05882524149457467]"
"[0.07663623362325167, 0.19134635596089736]","[0.07008594611334182, 0.08332682778867372]","[1.0934607845532518, 2.2963355384915576]","[0.2741915379495847, 0.0216567035994613]"
"[0.02039056370428328, 0.20493157349886343]","[0.0804810919276208, 0.08080625328722695]","[0.25335843756470355, 2.536085577070766]","[0.7999912420686177, 0.011209933652241176]"
"[0.04645149417495717, 0.15656410373784618]","[0.062478609711630634, 0.07398669828009846]","[0.7434783582629888, 2.116111508924572]","[0.4571921193219652, 0.03433532488845613]"
"[-0.01671289525507413, 0.32156150435977987]","[0.07975495463796167, 0.08290589308515661]","[-0.2095530657742879, 3.878632656782174]","[0.8340165142964859, 0.0001050452387465604]"
"[-0.07608653775709567, 0.27820551044280145]","[0.05819134919713273, 0.06158764326930373]","[-1.3075231766725335, 4.51722936086862]","[0.19103508881983175, 6.265402940434067e-6]"
"[-0.016959836337135537, 0.2983878847525643]","[0.07178580852794458, 0.0797082548505828]","[-0.2362561164235332, 3.7435004104895735]","[0.8132339371109275, 0.00018147430584569007]"
"[0.0010184236495743824, 0.34342286838636915]","[0.07218339098152769, 0.08378222324555105]","[0.0141088363365335, 4.098994453511418]","[0.9887431507807756, 4.149489783946395e-5]"
"[-6.202362941428656e-5, 0.24953350597790447]","[0.07093083968377505, 0.08283131641585026]","[-0.0008744240120489374, 3.012550286236363]","[0.9993023106701018, 0.002590625110140358]"
"[0.04769254502592194, 0.2926981389696632]","[0.06424924138822907, 0.07439669660048667]","[0.7423051851731212, 3.9342894556389276]","[0.4579024509401619, 8.344317618790793e-5]"
"[-0.0673846553307368, 0.41841258962465266]","[0.06871650056544056, 0.07161765664181555]","[-0.9806182616439351, 5.84231053128808]","[0.32678102542885007, 5.148172469351631e-9]"
"[-0.01902845199827614, 0.17588379335585436]","[0.057663085728148204, 0.0648972045894418]","[-0.3299936477209268, 2.710190592469203]","[0.7414047619143864, 0.006724455518825703]"
"[-0.02611290041628645, 0.23317623234108517]","[0.07057233024274388, 0.07078380824003994]","[-0.3700161285091097, 3.2942029842523435]","[0.711370473136839, 0.000987011942903611]"
"[-0.0047580830888365325, 0.20426653837482378]","[0.07333461581177048, 0.0828860191438122]","[-0.06488181653598904, 2.4644269381596082]","[0.9482680983870876, 0.013723253850571814]"
"[0.10289075919212633, 0.165850903645558]","[0.06559206324686177, 0.06792729925325051]","[1.5686464809757161, 2.441594255458663]","[0.11673033550085428, 0.014622570659444082]"
"[0.12017816191023852, 0.2339918945588137]","[0.08116027396012121, 0.08172428185523141]","[1.4807510626355092, 2.8631869163844503]","[0.13867292150200958, 0.004194030688775156]"
"[0.2106846053424689, 0.033834649634080616]","[0.06507027680727936, 0.06616667497855765]","[3.2378009696571595, 0.5113548420718628]","[0.00120454811168663, 0.6091026095879822]"
"[-0.01586956084619237, 0.2355580138233226]","[0.07115531762307845, 0.07664841703612622]","[-0.22302705372290058, 3.0732273794030016]","[0.8235144509201767, 0.0021175707171399347]"
"[0.053606212951498644, 0.16856125772402383]","[0.06062693431660357, 0.06370360426108353]","[0.8841979815696833, 2.646023873832799]","[0.37658934775884456, 0.008144406826478164]"
"[0.0016821277022443049, 0.22001399267057586]","[0.06720057109981681, 0.08041314667817323]","[0.025031449505774964, 2.736045059287487]","[0.9800298783846476, 0.006218251072042521]"
"[0.16119257202002532, 0.13104600755499418]","[0.06936652525648083, 0.07911689960745341]","[2.3237804030693505, 1.6563592381045307]","[0.02013726657922444, 0.09764909066487416]"
"[0.053243479251606454, 0.22984974836505145]","[0.07286378897787221, 0.0852628704032597]","[0.7307261947052439, 2.6957777433242973]","[0.4649464122640842, 0.007022450579607414]"
"[0.05393762165740379, 0.2543979415536357]","[0.07249339215522668, 0.07730900499371973]","[0.7440350086240923, 3.2906637664564684]","[0.45685529585224394, 0.000999513035367678]"
"[-0.09362123246762495, 0.28900958266257387]","[0.07734440641927988, 0.08668932968420703]","[-1.210446065874619, 3.333854163083064]","[0.22610777454203357, 0.0008565155306395534]"
"[0.054877379907137126, 0.16291173563851705]","[0.06691287931116029, 0.07778328776771001]","[0.8201317963309378, 2.094431082998605]","[0.4121409777391826, 0.03622159627916461]"
"[-0.1502666051865257, 0.4443816097952607]","[0.0696384316150662, 0.06786122512011704]","[-2.1578114512564017, 6.5483876692277185]","[0.030942494202014687, 5.8161579629183394e-11]"
"[-0.006055293923447208, 0.23961396272195337]","[0.06530012064605692, 0.07023895181579128]","[-0.09273021035088778, 3.411411425249698]","[0.9261178960193361, 0.000646274947690461]"
"[-0.07259881340478347, 0.3752739696862814]","[0.075393146168501, 0.08541888984252916]","[-0.9629365147135219, 4.3933370051765355]","[0.3355793836373258, 1.116238864757441e-5]"
"[0.10455407677776937, 0.14640045943195518]","[0.06194581461251537, 0.07844138224489601]","[1.6878311703829874, 1.8663676651552261]","[0.09144364225178467, 0.0619899437973839]"
"[-0.05105149911379121, 0.24419843455954945]","[0.07563299362354906, 0.07955575067466286]","[-0.6749897983397531, 3.0695258669380197]","[0.49968224643125014, 0.0021439883862447266]"
"[-0.03638171420250305, 0.30513418117145263]","[0.06990740428671781, 0.07389788439902982]","[-0.5204271932810909, 4.1291328385506345]","[0.6027658608514864, 3.641339870739364e-5]"
"[0.010351947862617719, 0.2111190812328769]","[0.06376920367220018, 0.07674145097051206]","[0.16233459517278856, 2.7510436480279674]","[0.8710423729675066, 0.005940572728342071]"
"[0.029867804325179846, 0.11496201482295937]","[0.07125850641209476, 0.07252602516295796]","[0.4191472124387715, 1.5851139582605338]","[0.6751085481290152, 0.11294044475292796]"
"[-0.0893120801066101, 0.31705330622910444]","[0.0636229335827588, 0.08764509999455349]","[-1.4037718017267409, 3.6174675623486885]","[0.16038681340049388, 0.00029749960066845113]"
"[-0.10902226371974266, 0.3294906184865523]","[0.056824500182326876, 0.06889714215172688]","[-1.9185784893828233, 4.782355380734668]","[0.05503770004577296, 1.732530275896114e-6]"
"[0.018121287945336555, 0.2162706136339984]","[0.063708012973575, 0.08462208703071682]","[0.2844428369293664, 2.555722994110211]","[0.7760710349502257, 0.010596743882082857]"
"[-0.08559424874802493, 0.4581967512574224]","[0.0738089938982172, 0.07571229611387541]","[-1.1596723410978835, 6.051814233295336]","[0.2461822354110669, 1.4322357650176953e-9]"
"[0.009185824117006214, 0.16947002113207893]","[0.06360308289677319, 0.07517936647457499]","[0.14442419610248552, 2.2542092209488387]","[0.8851655113756142, 0.024183008978043933]"
"[-0.019924016340268073, 0.33050432877029906]","[0.07509560627647949, 0.07964901634873416]","[-0.265315340379753, 4.149509233399989]","[0.7907665479355445, 3.331888485969404e-5]"
"[0.08804076957653294, 0.05240374140010512]","[0.06578529349907217, 0.07717581118076385]","[1.3383047318588714, 0.679017694771789]","[0.18079711996252995, 0.49712665032205194]"
"[0.026695245202031676, 0.17974487953655585]","[0.05975014733992873, 0.07122580740813775]","[0.4467812447416723, 2.5235920248201986]","[0.6550330143273647, 0.011616265245417392]"
"[-0.030224021405291564, 0.3123194411173603]","[0.07771400577085108, 0.07697482748080461]","[-0.3889134410907946, 4.057423073734646]","[0.6973401788489167, 4.9617152335186345e-5]"
"[0.045368325404943864, 0.2135685307145958]","[0.06586913356468935, 0.0785945852344023]","[0.688764569225556, 2.7173440775550137]","[0.490971435476488, 0.006580815459143838]"
"[0.05280703284463479, 0.20738869353738626]","[0.06750478334814393, 0.0765167780572277]","[0.7822709773364044, 2.7103688733767393]","[0.43405533942272934, 0.006720841714746808]"
"[-0.03453108010952183, 0.29306639929510475]","[0.07775767819596113, 0.07462660928315185]","[-0.4440857920487064, 3.9271032425329446]","[0.6569805582666844, 8.597508241645572e-5]"
"[-0.020977499440536885, 0.25416136784659554]","[0.0742275405913619, 0.08096592614412954]","[-0.2826107301065301, 3.1391151803062973]","[0.777475254087654, 0.0016945882574390578]"
"[-0.10727726688532213, 0.2931110511620852]","[0.0690083015399694, 0.0694302725834627]","[-1.5545559663309125, 4.221660671283322]","[0.12005185782116827, 2.425089987775009e-5]"
"[0.1729849145031314, 0.12893019501717914]","[0.07454295481886361, 0.07958844704985865]","[2.320607157624457, 1.6199611852761753]","[0.020308055541633886, 0.10524061504493476]"
"[-0.09098841571650382, 0.413935157989144]","[0.07755515738217142, 0.08702586533849739]","[-1.1732090912811488, 4.756461270210807]","[0.24071196718605714, 1.970160156936146e-6]"
"[0.11826022249206818, 0.18858049471068564]","[0.0788969022940111, 0.07138738690322213]","[1.4989209848996197, 2.6416500574021415]","[0.1338941316793456, 0.008250325090604133]"
"[0.03283019235940309, 0.2559723076484444]","[0.04958337283906006, 0.06708669723840475]","[0.6621209990285414, 3.815544931937853]","[0.5078936789623804, 0.00013588272631464627]"
"[0.007899464944553595, 0.2429970949905938]","[0.06537280838075336, 0.0777774508877792]","[0.12083716670919868, 3.1242614950340934]","[0.9038200110112503, 0.0017825196578723597]"
"[-0.04174347502183691, 0.16574754460631816]","[0.06984770379461773, 0.0823269307866696]","[-0.5976356093906919, 2.0132846326533533]","[0.5500830985067723, 0.04408469409336239]"
"[-0.020744526398659216, 0.1553061102139353]","[0.07002794714511786, 0.07920247901653639]","[-0.2962321079564227, 1.9608743582572652]","[0.7670528300288811, 0.04989368118431312]"
"[0.00841151137159606, 0.3548055518030395]","[0.08099234485464767, 0.08917115573200778]","[0.10385563458733932, 3.9789273660348323]","[0.9172839151152493, 6.922688420736839e-5]"
"[-0.040790265279485434, 0.23769638980765662]","[0.061690776657579424, 0.059914954935505124]","[-0.6612052480048308, 3.967229718582324]","[0.508480696151708, 7.271289979938893e-5]"
"[-0.13573642093026472, 0.2939483013667835]","[0.06260308239592642, 0.07671020273544885]","[-2.168206671866641, 3.8319322708678745]","[0.0301429654190596, 0.00012714074460674844]"
"[-0.06343326681016663, 0.23381098522163737]","[0.06626548111655857, 0.07264210097017758]","[-0.9572595828375534, 3.218670469314013]","[0.33843624996588445, 0.0012878639440688517]"
"[-0.11795308137399295, 0.20720824596203577]","[0.07553711684059038, 0.08144690445509545]","[-1.5615248014153762, 2.544089887127349]","[0.11839997672795324, 0.010956288616887843]"
"[0.011549624455406561, 0.21331706362315017]","[0.06804970566418642, 0.07299162866519247]","[0.16972335651827752, 2.922486695037601]","[0.8652277047177287, 0.0034724845675965475]"
"[0.028658681558349802, 0.20052661560440724]","[0.06281065057434858, 0.06876403253227363]","[0.4562710511082304, 2.916155557199068]","[0.6481950782887435, 0.0035437376830893823]"
"[0.0328529703136661, 0.24404770869643969]","[0.07254943367449533, 0.07099654850454107]","[0.4528356549420664, 3.437458775630902]","[0.6506670871718516, 0.000587200096311097]"
"[-0.1002836855122268, 0.25195654707390774]","[0.0660444977781901, 0.0757136381142632]","[-1.5184260443470814, 3.327756443213938]","[0.12890703017936556, 0.0008754837040406099]"
"[0.08566372629891036, 0.2534627567856348]","[0.07363982307460579, 0.07806099063084077]","[1.1632799037570059, 3.2469836052208043]","[0.24471595651862932, 0.0011663510826743]"
"[0.020505720435128404, 0.28025575330696895]","[0.06571259641466734, 0.07676135272206665]","[0.31205159366601193, 3.6510007102363584]","[0.7550013135024657, 0.00026122051753582967]"
"[0.01444243900149095, 0.21533762400300044]","[0.061401628880757265, 0.0661365652704806]","[0.23521263628915037, 3.255954147638723]","[0.8140436987610529, 0.0011301200054354078]"
"[-0.11474473558614665, 0.3511835475806261]","[0.06627342201644644, 0.07620994093734776]","[-1.7313838956085827, 4.6081068068184745]","[0.0833833169995428, 4.063519259476569e-6]"
"[0.10449138695928775, 0.17259329273458218]","[0.07617565569478925, 0.08346404840578063]","[1.3717162787275545, 2.0678758822658376]","[0.1701517787484819, 0.03865169583042249]"
"[0.04959147130411026, 0.3059502303003362]","[0.06271379975089648, 0.08397956228298625]","[0.7907585172815391, 3.6431510475057554]","[0.42908492124023345, 0.0002693206858527896]"
"[-0.14604686151883553, 0.28828924182160615]","[0.07388868808315428, 0.08080501462473659]","[-1.9765794373622452, 3.567714740977883]","[0.048089188351525716, 0.0003601082287848644]"
"[-0.111469679472593, 0.22793900228952457]","[0.06454875083371865, 0.06304628232269387]","[-1.7269068422368916, 3.6154233666443587]","[0.08418439541187951, 0.0002998571709431676]"
"[-0.06253009772886776, 0.26762053677143527]","[0.06866201308198083, 0.07638831127076527]","[-0.9106942095363312, 3.5034226090275786]","[0.3624565159230391, 0.0004593201037345021]"
"[-0.03849735922313521, 0.23698283975918688]","[0.07079290544359722, 0.07312548746917093]","[-0.5438025036817733, 3.2407693673029776]","[0.5865773857563136, 0.0011920758700704583]"
"[0.04608066064860516, 0.2714601289615322]","[0.06402571256403747, 0.07574635292577878]","[0.7197211683121221, 3.583804612052102]","[0.471696690163448, 0.0003386254340110779]"
"[0.01695957766473521, 0.24190417920230334]","[0.0754065625921035, 0.07925969353939025]","[0.22490851037030563, 3.0520453511731347]","[0.8220504485817254, 0.0022728775800589735]"
"[0.012237203003226033, 0.19696657016753735]","[0.055863796196598516, 0.05662400396966353]","[0.2190542683522668, 3.4784995118512416]","[0.8266077741389379, 0.0005042293562099745]"
"[-0.027538784725997835, 0.2706732977411876]","[0.0764162116565267, 0.07451998990243239]","[-0.36037882707112384, 3.6322240260039624]","[0.7185638579684845, 0.0002809890146846203]"
"[0.11038466701057235, 0.15409019380831637]","[0.07049393543132812, 0.07571782474336296]","[1.565874657659082, 2.0350583806466673]","[0.1173779637791676, 0.041844999066458104]"
"[-0.015627294221572708, 0.2725620412175825]","[0.07644166977369565, 0.09011186269462129]","[-0.20443423420546758, 3.024707658538408]","[0.8380141800157426, 0.0024887355781897645]"
"[0.15915121579541472, 0.1502820735474254]","[0.07745075154639798, 0.07609261349248353]","[2.0548698704372534, 1.9749889857873044]","[0.039891575308290135, 0.04826939794691926]"
"[0.04724780429210636, 0.19474056470656814]","[0.07815862858946022, 0.0793917243506949]","[0.6045116853352488, 2.452907608434677]","[0.5455035026349397, 0.014170673026698784]"
"[-0.11888406229060577, 0.2834320653080592]","[0.0684722631270057, 0.07677966157891862]","[-1.7362367893418946, 3.6914992783177505]","[0.08252197476009288, 0.00022293602943473475]"
"[0.00517124852576302, 0.25881365952466423]","[0.07071752822763772, 0.0764514191853955]","[0.07312541395843075, 3.3853349261841483]","[0.9417063183787339, 0.0007109145425403719]"
"[-0.04035601342284333, 0.2791924768277567]","[0.06072747171819278, 0.07206929200490493]","[-0.6645429536424031, 3.8739450473407633]","[0.5063428668132139, 0.00010708756989228085]"
"[-0.13646042606414735, 0.2511215142710203]","[0.0689901470924279, 0.07034921005485671]","[-1.977969779964779, 3.569642275658838]","[0.04793211594060581, 0.00035746903255024225]"
"[-0.014744288212288762, 0.2562637938097171]","[0.06314876246377239, 0.06678212028715907]","[-0.2334849906321975, 3.837311434674405]","[0.8153848232546184, 0.0001243886810688928]"
"[0.001680174777142539, 0.26361357869773483]","[0.07085873643142032, 0.08314054409864603]","[0.023711610759086475, 3.1706982622697057]","[0.9810826445640152, 0.0015207301678754454]"
"[-0.04945025800743465, 0.34007179836040574]","[0.07172963745357575, 0.07843536933134856]","[-0.6893978523095063, 4.335694486549551]","[0.49057293459379336, 1.4530063829264255e-5]"
"[-0.016773638809015126, 0.23178075541794832]","[0.058580658002072024, 0.06457355020696941]","[-0.28633407990094334, 3.5894070354665475]","[0.7746222583241014, 0.00033143099742588414]"
"[-0.013041533567922588, 0.0962024027774599]","[0.07405312203634999, 0.07797412297801605]","[-0.17611051646844778, 1.2337734507713938]","[0.8602071191079129, 0.21728733507894318]"
"[0.0918089828197193, 0.1604112807010447]","[0.07431350314225336, 0.08303057943296158]","[1.23542800349454, 1.9319542486218573]","[0.21667125606616763, 0.053365153094697394]"
"[-0.13679417285538023, 0.3763640533658307]","[0.06772539587201941, 0.08033231692944581]","[-2.019835707034921, 4.685088987242622]","[0.043400432004935596, 2.7983832414886273e-6]"
"[-0.09129152374214565, 0.2950105154053793]","[0.061536799690054655, 0.07182227988481611]","[-1.4835273235195532, 4.107506972467289]","[0.13793436247023724, 3.9995270806231165e-5]"
"[0.07410557808331836, 0.23437928670928362]","[0.05749314593004774, 0.06757235778257079]","[1.2889463062863713, 3.4685675385703063]","[0.1974167539787486, 0.0005232409883279879]"
"[0.10562439081934771, 0.28813821785246563]","[0.06514841002033311, 0.07426974227268102]","[1.621288850892629, 3.8796178502217966]","[0.10495570498659706, 0.00010462070303195188]"
"[0.002860613304412922, 0.26484967257540554]","[0.06838979139912356, 0.07376485774419383]","[0.04182807471539651, 3.590458663851383]","[0.9666357542064646, 0.00033009657928522997]"
"[-0.08799399097104589, 0.2179711676123957]","[0.06643143637045164, 0.07533344700762741]","[-1.3245835974455185, 2.8934182128998613]","[0.1853092991609345, 0.003810735213061358]"
"[0.08023536319256538, 0.06966130161651846]","[0.06380709009998935, 0.06831318994466376]","[1.2574678310330716, 1.0197342807874543]","[0.20858428055212686, 0.30785449885461613]"
"[-0.018978175647958076, 0.06646611066879536]","[0.07943329287914315, 0.08106582148899803]","[-0.23891966403600004, 0.8199030053351881]","[0.8111678773653384, 0.41227140338262136]"
"[0.061824460808014174, 0.14194782417074872]","[0.06746471300563293, 0.06981505639007188]","[0.9163970030207076, 2.0331978732159923]","[0.35945870666205687, 0.04203253585340254]"
"[-0.06325558808281917, 0.3966591805506786]","[0.06483488661112176, 0.07122476842364169]","[-0.9756412232541535, 5.569118571103915]","[0.3292422886420686, 2.5603121605626718e-8]"
"[0.09155184836776174, 0.17346951109648523]","[0.06894572883504269, 0.06919426515985792]","[1.3278828132603504, 2.506992605466979]","[0.18421682331100694, 0.012176325894864832]"
"[0.03395121930288194, 0.18452818362195805]","[0.05201157243086203, 0.07355547113207567]","[0.6527627932805268, 2.5086941974801658]","[0.5139092136068668, 0.012117833918277636]"
"[0.05750029703785048, 0.2544992984517517]","[0.07491127483709588, 0.07753490993650887]","[0.7675786744103903, 3.282383363315362]","[0.44273753599072846, 0.0010293355911155993]"
"[-0.014161887468105601, 0.18033658578743172]","[0.0658062514617493, 0.07825476939364046]","[-0.2152058072527862, 2.30448044489525]","[0.829606863471139, 0.021195688831897694]"
"[-0.061944144093918144, 0.19699068421530247]","[0.07866482995977714, 0.09010170107340486]","[-0.7874439457326914, 2.186314818349726]","[0.43102202987509863, 0.02879258074769878]"
"[0.006494782803864522, 0.26315357370536036]","[0.07200494518852439, 0.07977289937568459]","[0.09019912155838446, 3.2987841204825465]","[0.9281289823780297, 0.0009710455712853269]"
"[0.12140664952836644, 0.127222748756994]","[0.06928631190867471, 0.06993697076095205]","[1.752245807056245, 1.819105794442363]","[0.0797315501499014, 0.06889529122044884]"
"[-0.12056039667369284, 0.34383616054647337]","[0.07634654463130643, 0.07799075799119229]","[-1.579120538537853, 4.408678276794075]","[0.11430841156362372, 1.0400338861251078e-5]"
"[-0.017851789572229087, 0.37023893950100845]","[0.07585137502884837, 0.07785503896218471]","[-0.23535222091148064, 4.7554910309766685]","[0.8139353667416479, 1.9796464970018724e-6]"
"[-0.10159642601609621, 0.2873065564590512]","[0.06542209768392024, 0.07471862788501724]","[-1.5529374571104142, 3.845179770982687]","[0.12043807704664984, 0.00012046408999119653]"
"[-0.058471312808345145, 0.2664486770992186]","[0.05818766852710874, 0.08044390908923196]","[-1.004874645924407, 3.3122293547875934]","[0.3149572143781492, 0.0009255563222635128]"
"[-0.0379589374823008, 0.2540363849925294]","[0.0672992607262016, 0.08049130705520935]","[-0.564032012724952, 3.1560723050289727]","[0.5727323457602741, 0.0015990921449176925]"
"[0.02500626581654071, 0.21843309730997154]","[0.05772428494865263, 0.07140133176447903]","[0.43320182898384074, 3.059230015911809]","[0.6648681502707409, 0.0022190670115822845]"
"[-0.06190867192025399, 0.2462799757226551]","[0.07253898881285845, 0.0818346855008091]","[-0.8534537485761023, 3.0094815445978598]","[0.3934077260118092, 0.0026169397717041173]"
"[0.04202771535635857, 0.2071798530314727]","[0.06530017838713145, 0.07450452585627869]","[0.6436079715923236, 2.780768693584178]","[0.5198296797037751, 0.005423036132838338]"
"[0.014907726244481372, 0.2573096298602133]","[0.07973749110984986, 0.07884882878954473]","[0.18696006153421402, 3.2633284959374342]","[0.8516919470239867, 0.001101118072099629]"
"[-0.11518544941967723, 0.3455774855120996]","[0.06745907730542461, 0.07452810686613365]","[-1.707486286807169, 4.636874597295502]","[0.08773170450410293, 3.537168606557058e-6]"
